UDS 속성명,Gmarket/Auction 필드명,API 영역,사용 문서 수,UDS 필요도,설명
(G마켓)배송요청종료시간,data>AllocationEndDate,주문/배송 API,1,✅ 핵심 UDS,- 당일배송 주문에 내려가는 정보 - 고객이 선택한 배송테이블 시작시간 데이터
(G마켓)히스토리 코드,data>InventoryNo,주문/배송 API,1,✅ 핵심 UDS,상품 등록/수정시 입력한 히스토리코드로 주문 당시 가장 최근 업데이트 된 코드 내려감(G마켓만 제공)
(G마켓/옥션용) 할인시작일자,addtionalInfo>sellerDiscount>gmkt>startDate,상품 API,1,✅ 핵심 UDS,입력형식 YYYY-MM-DD
(G마켓/옥션용) 할인액(율),addtionalInfo>sellerDiscount>gmkt>priceOrRate1,상품 API,1,✅ 핵심 UDS,"판매자할인 사용여부 true일 경우 필수 - 정액 설정시 : 최소 100원 이상,10원 단위 - 정률 설정시 : 판매가대비 70%까지 허용"
(G마켓/옥션용) 할인액(율) 2,addtionalInfo>sellerDiscount>gmkt>priceOrRate2,상품 API,1,✅ 핵심 UDS,권한이 있는 셀러만 설정 가능
(G마켓/옥션용) 할인종료일자,addtionalInfo>sellerDiscount>gmkt>endDate,상품 API,1,✅ 핵심 UDS,입력 형식 YYYY-MM-DD
(G마켓/옥션용) 할인타입,addtionalInfo>sellerDiscount>gmkt>type,상품 API,1,✅ 핵심 UDS,판매자할인 사용여부 true일 경우 필수 0 : 사용안함 1 : 정액 2 : 정률
(G마켓용) G마켓 인벤토리 코드,itemAddtionalInfo>inventoryCode,상품 API,1,✅ 핵심 UDS,"(G마켓 상품용) 상품 정보가 변경된 시점(상품정보, 가격정보)에 등록된 code를 주문정보에 포함하여 전달함"
(G마켓용) URL 안내 여부,itemAddtionalInfo>eCoupon>isInformByURL,상품 API,1,✅ 핵심 UDS,
(G마켓용) e쿠폰 모바일용 양식 URL,itemAddtionalInfo>eCoupon>downloadImageUrl,상품 API,1,✅ 핵심 UDS,
(G마켓용) e쿠폰 모바일용 템플릿 번호,itemAddtionalInfo>eCoupon>downloadTemplate,상품 API,1,✅ 핵심 UDS,
(G마켓용) e쿠폰 인쇄용 양식 URL,itemAddtionalInfo>eCoupon>couponImageUrl,상품 API,1,✅ 핵심 UDS,
(G마켓용) e쿠폰 인쇄용 템플릿 번호,itemAddtionalInfo>eCoupon>couponTemplate,상품 API,1,✅ 핵심 UDS,
(G마켓용) e쿠폰가격,itemAddtionalInfo>eCoupon>price,상품 API,1,✅ 핵심 UDS,
(G마켓용) e쿠폰가격 정액/정률 여부,itemAddtionalInfo>eCoupon>moneyType,상품 API,1,✅ 핵심 UDS,1 : 정액 2 : 정률
(G마켓용) e쿠폰명,itemAddtionalInfo>eCoupon>couponName,상품 API,1,✅ 핵심 UDS,
(G마켓용) 고객센터,itemAddtionalInfo>eCoupon>mobileHelpDeskphoneNo,상품 API,1,✅ 핵심 UDS,판매자 고객센터 번호 노출 (ex:1588-xxxx)
(G마켓용) 발송정책번호,itemAddtionalInfo>shipping>dispatchPolicyNo>gmkt,상품 API,1,✅ 핵심 UDS,G마켓 발송정책번호 입력 동시 등록시 옥션과 동일한 정책 번호 입력
(G마켓용) 발행업체,itemAddtionalInfo>eCoupon>publicationCorp,상품 API,1,✅ 핵심 UDS,
(G마켓용) 발행업체 주소,itemAddtionalInfo>eCoupon>publicationCorpURL,상품 API,1,✅ 핵심 UDS,
(G마켓용) 사용안내,itemAddtionalInfo>eCoupon>mobileUseInfo,상품 API,1,✅ 핵심 UDS,사용 관련 유의사항 기재
(G마켓용) 사용장소,itemAddtionalInfo>eCoupon>applyPlace,상품 API,1,✅ 핵심 UDS,
(G마켓용) 사용장소 우선 노출 선택,itemAddtionalInfo>eCoupon>applyPlacePriority,상품 API,1,✅ 핵심 UDS,
(G마켓용) 사용제한조건 여부,itemAddtionalInfo>eCoupon>hasRestrictCondition,상품 API,1,✅ 핵심 UDS,
(G마켓용) 사용제한조건 있음 경우 내용,itemAddtionalInfo>eCoupon>restrictCondition,상품 API,1,✅ 핵심 UDS,
(G마켓용) 사이트부담 지원할인,addtionalInfo>siteDiscount>gmkt,상품 API,1,✅ 핵심 UDS,G마켓 부담 사이트 할인 적용 여부 true : 적용 false : 적용하지 않음
(G마켓용) 상품무게(단위:kg),itemAddtionalInfo>weight,상품 API,1,✅ 핵심 UDS,- 숫자로 입력(소수점 1자리 가능) - 최대 30kg까지 설정 가능 - 해외 주문 발생 경우 해외배송비 산정에 사용 - 미입력시 카테고리별 무게로 배송비 산정
(G마켓용) 상품타입,itemBasicInfo>goodsType,상품 API,1,✅ 핵심 UDS,1 : 일반 배송 상품 2 : e쿠폰 상품
(G마켓용) 안내 URL,itemAddtionalInfo>eCoupon>url,상품 API,1,✅ 핵심 UDS,
(G마켓용) 연락처,itemAddtionalInfo>eCoupon>telephoneNo,상품 API,1,✅ 핵심 UDS,
(G마켓용) 영업허가/신고증,itemAddtionalInfo>certInfo>gmkt>licenseSeq,상품 API,1,✅ 핵심 UDS,영업허가/신고코드 입력
(G마켓용) 유효기간,itemAddtionalInfo>eCoupon>useTermType,상품 API,1,✅ 핵심 UDS,0 : 특정기간 1 : 자동기간 (구매완료 후 *일)
(G마켓용) 유효기간 자동 구매 이후일,itemAddtionalInfo>eCoupon>useTerm2Start,상품 API,1,✅ 핵심 UDS,- 자동기간 설정 시 필수 - 0 : 오늘부터
(G마켓용) 유효기간 자동 사용 기간,itemAddtionalInfo>eCoupon>useTerm2Duration,상품 API,1,✅ 핵심 UDS,- 자동기간 설정 시 필수
(G마켓용) 유효기간 특정 시작일,itemAddtionalInfo>eCoupon>useTerm1StartDate,상품 API,1,✅ 핵심 UDS,특정기간 설정 시 필수
(G마켓용) 유효기간 특정 종료일,itemAddtionalInfo>eCoupon>useTerm1EndDate,상품 API,1,✅ 핵심 UDS,특정기간 설정 시 필수
(G마켓용) 인증정보코드,itemAddtionalInfo>certInfo>gmkt>certId,상품 API,1,✅ 핵심 UDS,상품과 관련된 인증/보증/증명 정보 입력 의료기기/방송통신기기/식품제조가공업/건강식품인증/친환경 상품일 경우 인증정보 입력
(G마켓용) 정산기간,itemAddtionalInfo>eCoupon>expireType,상품 API,1,✅ 핵심 UDS,0 : 특정기간 1 : 자동기간 (구매완료 후 *일)
(G마켓용) 정산기간 자동 기간,itemAddtionalInfo>eCoupon>expire2Duration,상품 API,1,✅ 핵심 UDS,자동기간 설정 시 필수
(G마켓용) 정산기간 자동 시작일,itemAddtionalInfo>eCoupon>expire2Start,상품 API,1,✅ 핵심 UDS,- 자동기간 설정 시 필수 - 0 : 오늘부터
(G마켓용) 정산기간 특정 시작일,itemAddtionalInfo>eCoupon>expire1StartDate,상품 API,1,✅ 핵심 UDS,특정기간 설정 시 필수
(G마켓용) 정산기간 특정 종료일,itemAddtionalInfo>eCoupon>expire1EndDate,상품 API,1,✅ 핵심 UDS,특정기간 설정 시 필수
(G마켓용) 주소로 안내 여부,itemAddtionalInfo>eCoupon>isInformByAddress,상품 API,1,✅ 핵심 UDS,
(G마켓용) 찾아가는길,itemAddtionalInfo>eCoupon>guide,상품 API,1,✅ 핵심 UDS,
(G마켓용) 추가혜택,itemAddtionalInfo>eCoupon>additionalBenefit,상품 API,1,✅ 핵심 UDS,
(G마켓용) 판매상태 변경,isSell>gmkt,상품 API,1,✅ 핵심 UDS,- 상품수정/전환 API 호출 시 필수 설정 - 등록 시 상태 설정은 불가 true : 판매가능 false : 판매중지
(G마켓용) 해외판매여부,addtionalInfo>overseaSales>isAgree,상품 API,1,✅ 핵심 UDS,true : 해외판매 진행 false : 해외판매 진행하지 않음
(G마켓용) 회원명 노출 여부,itemAddtionalInfo>eCoupon>isCustomerNameView,상품 API,1,✅ 핵심 UDS,
(계산형) 단가 기준값,itemAddtionalInfo>recommendedOpts>calculation>unitPrice,상품 API,1,✅ 핵심 UDS,1 이상 입력 가능
(계산형) 옵션관리코드,itemAddtionalInfo>recommendedOpts>calculation>manageCode,상품 API,1,✅ 핵심 UDS,20byte 이내 입력 가능
(계산형) 옵션명1,itemAddtionalInfo>recommendedOpts>calculation>name1>kor,상품 API,1,✅ 핵심 UDS,
