UDS 속성명,Naver 필드명,API 영역,사용 문서 수,UDS 필요도,설명
관심 고객 통계 interestCustomer integer,interestStats,고객 데이터,2,✅ 핵심 UDS,interestStats InterestStats.data-insight (object) REQUIRED 관심 고객 통계 interestCustomer integer<int64> 관심 고객 수(누적) interestCustomerFluctuation integer<int64> 관심 고객 수(증감) notificationCustomer integer<int64> 알림 고객 수(누적) notificationCustomerFluctuation integer<int64> 알림 고객 수(증감)
교환 거부(철회) 사유,rejectExchangeReason,교환,1,✅ 핵심 UDS,rejectExchangeReason string REQUIRED 교환 거부(철회) 사유 Example: 착용한 상품은 교환할 수 없습니다.
교환 배송비 (integer,exchangeFee,상품 목록,1,✅ 핵심 UDS,exchangeFee 교환 배송비 (integer<int64>) Possible values: <= 1000000
구매 금액,purchaseAmount,고객 데이터,1,✅ 핵심 UDS,purchaseAmount integer<int64> REQUIRED 구매 금액
구매 금액 비율,purchaseAmountRatio,고객 데이터,1,✅ 핵심 UDS,purchaseAmountRatio number<double> REQUIRED 구매 금액 비율
구매 비율,ratio,고객 데이터,2,✅ 핵심 UDS,ratio number<double> 구매 비율
구매 수량,purchaseQuantityInfo,상품 일괄 수정,1,✅ 핵심 UDS,purchaseQuantityInfo 구매 수량 설정 정보 (object) 구매 수량 정보 minPurchaseQuantity 최소 구매 수량 (integer<int32>) Possible values: <= 10000 maxPurchaseQuantityPerId 1인 최대 구매 수량 (integer<int32>) Possible values: <= 99999999 maxPurchaseQuantityPerOrder 1회 최대 구매 수량 (integer<int32>) Possible values: <= 10000
구매/리뷰 혜택 정보 요청 (object) multiPurc,purchaseBenefit,상품 일괄 수정,1,✅ 핵심 UDS,purchaseBenefit 구매/리뷰 혜택 정보 요청 (object) multiPurchaseDiscountPolicy 복수 구매 할인 정책 (object) purchasePointPolicy 상품 구매 포인트 정책 (object) reviewPointPolicy 구매평 포인트 정책 (object) freeInterestPolicy 무이자 할부 정책 (object) giftPolicy 사은품 정책 (object)
구매자 이름,customerName,고객 문의 조회,2,✅ 핵심 UDS,customerName string REQUIRED 구매자 이름
구매자 ID,customerId,고객 문의 조회,2,✅ 핵심 UDS,customerId string 구매자 ID
구매자명 (string) NULLABLE 구매자명,purchaserName,정산 내역,2,✅ 핵심 UDS,purchaserName 구매자명 (string) NULLABLE 구매자명
구매평 포인트 정책 (object),reviewPointPolicy,상품 일괄 수정,1,✅ 핵심 UDS,reviewPointPolicy 구매평 포인트 정책 (object)
권역 추가 배송비 (integer,"area2extraFee, area3extraFee",상품 배송 정보,1,✅ 핵심 UDS,area2extraFee 2권역 추가 배송비 (integer<int32>) 2권역인 경우 '제주 및 도서산간' 지역 추가 배송비. 3권역인 경우 '제주' 지역 추가 배송비. 묶음배송 가능 여부가 true인 경우 묶음배송 그룹에 설정된 값이 적용됩니다(배송 속성이 ARRIVAL_GUARANTEE인 경우 제외). Possible values: <= 200000
그룹 전환 가능 여부 (boolean) true,canBeGrouped,그룹상품,1,✅ 핵심 UDS,canBeGrouped 그룹 전환 가능 여부 (boolean) true: 그룹 전환 가능 false: 그룹 전환 불가능. 이 경우 그룹 전환 유효성 결과 상세에 유효성 위반 상세가 함께 전달됩니다.
그룹 전환 유효성 검사 범위 (string) 유효성 검사 범,scope,그룹상품,1,✅ 핵심 UDS,"scope 그룹 전환 유효성 검사 범위 (string) 유효성 검사 범위를 나타냅니다. STANDARD_GROUP: 그룹 단위 조건(카테고리 일치, 출고지 구분, 노출윈도 채널, 최대 상품 수 등) PRODUCT: 상품 단위 조건(카테고리 허용 여부, 결제 여부, 판매 상태, 옵션 제한 등)"
그룹 전환 유효성 결과 상세 (object),validations,그룹상품,1,✅ 핵심 UDS,"validations 그룹 전환 유효성 결과 상세 (object)[] canBeGrouped가 false인 경우, 그룹 단위(STANDARD_GROUP) 또는 상품 단위(PRODUCT)로 구분된 유효성 위반 상세가 전달됩니다. Array [ scope 그룹 전환 유효성 검사 범위 (string) 유효성 검사 범위를 나타냅니다. STANDARD_GROUP: 그룹 단위 조건(카테고리 일치, 출고지 구분, 노출윈도 채널, 최대 상품 수 등) PRODUCT: 상품 단위 조건(카테고리 허용 여부, 결제 여부, 판매 상태, 옵션 제한 등) originProductNo 유효성 검증 대상 원상품번호 (integer<int64>) scope가 PRODUCT인 경우 해당 원상품번호가 전달되며, STANDARD_GROUP인 경우 null입니다. violations 유효성 위반 항목 (object)[] 해당 범위에서 위반된 항목의 목록입니다. Array [ type 유효성 위반 유형 (string) 유효"
그룹 해제 사유 유형 (string) 그룹 해제 사유 코드입,releaseReasonType,그룹상품,1,✅ 핵심 UDS,releaseReasonType 그룹 해제 사유 유형 (string) 그룹 해제 사유 코드입니다. 코드 설명 비고 GROUP_CONFIG_ERROR 그룹 오설정 - ADD_PURCHASE_OPTION 판매 옵션 추가 필요 - EDIT_PURCHASE_OPTION 판매 옵션 수정 필요 - NO_UNIT_VALUE 해당하는 단위가 없음 - NO_DESIRED_OPTION 희망하는 판매 옵션이 없음 - STOCK_SYNC_ISSUE N배송 재고 연동이 어려움 - SUSTAINING_ISSUE 운영하기가 불편함 - ETC 기타 -
그룹 해제 상세 사유 (string) 그룹 해제 사유에 대한,releaseDetailReason,그룹상품,1,✅ 핵심 UDS,releaseDetailReason 그룹 해제 상세 사유 (string) 그룹 해제 사유에 대한 추가 설명이 필요한 경우 입력합니다. 최대 500자까지 입력할 수 있습니다.
그룹 해제 성공 여부 (boolean),success,그룹상품,1,✅ 핵심 UDS,success 그룹 해제 성공 여부 (boolean)
그룹상품 (object),specificProducts,그룹상품,3,✅ 핵심 UDS,specificProducts 그룹상품 (object)[] REQUIRED
그룹상품 (object) 그룹상품으로 등록,groupProduct,상품,2,✅ 핵심 UDS,"groupProduct 그룹상품 (object) 그룹상품으로 등록, 설정한 상품의 경우 조회됩니다. groupProductNo 그룹상품번호 (integer<int64>) leafCategoryId 리프 카테고리 ID (string) groupProductName 그룹상품명 (string)"
그룹상품 (object) REQUIRED 그룹상품 정보 le,groupProduct,그룹상품,3,✅ 핵심 UDS,"groupProduct 그룹상품 (object) REQUIRED 그룹상품 정보 leafCategoryId 리프 카테고리 ID (string) REQUIRED 그룹상품 등록, 수정, 전환 시 필수입니다. 그룹상품 등록 판매 옵션 사용이 가능한 카테고리(GET /v2/standard-purchase-option-guides API 조회 결과에서 useOptionYn이 true인 카테고리)만 허용됩니다. 그룹상품 수정 아래 조건을 모두 만족하는 경우에만 카테고리를 수정할 수 있습니다. 그룹상품에 속한 판매 옵션 중 하나라도 등록일로부터 30일 이내이거나 카테고리 수정일로부터 30일 이내 수정하려는 카테고리에 기존 카테고리와 동일한 판매 옵션이 존재 대카테고리는 변경할 수 없습니다. 모델명 등록으로 인해 카탈로그가 연결된 경우에는 카테고리를 변경할 수 없습니다. 카테고리 수정 시에는 수정하려는 카테고리를 기준으로 판매 옵션 정보를 조회해, 해당 카테고리에서 허용하는 판매 옵션 가이드 ID와"
그룹상품 공통 상품 상세 정보 (string),commonDetailContent,그룹상품,1,✅ 핵심 UDS,commonDetailContent 그룹상품 공통 상품 상세 정보 (string)
그룹상품 공통 상품 상세 정보 (string) 그룹상품 하위,commonDetailContent,그룹상품,3,✅ 핵심 UDS,"commonDetailContent 그룹상품 공통 상품 상세 정보 (string) 그룹상품 하위의 모든 원상품에 동일한 상품 상세 정보를 설정하는 경우 사용합니다. 원상품별로 다른 상품 상세 정보를 설정하려면 상품 상세 정보 임시 저장 API에서 반환된 tempId를 specificProducts 하위의 detailContentTempId에 입력해야 합니다. 그룹상품 조회 API에서는 그룹 공통으로 설정된 상품 상세 정보만 반환됩니다. 원상품별로 다른 상품 상세 정보가 설정된 경우에는 개별 상품 조회 API를 사용해야 합니다. 그룹상품 수정 API에서는 이 필드를 생략할 수 있으며, 생략 시 기존에 저장된 그룹상품 공통 상품 상세 정보가 유지됩니다. 그룹상품 전환 API에서는 이 필드를 생략할 수 있으며, 생략 시 전환 이전 상품 상세 정보가 유지됩니다."
그룹상품 단위 그룹 해제 결과 (object),results,그룹상품,1,✅ 핵심 UDS,results 그룹상품 단위 그룹 해제 결과 (object)[] Array [ standardGroupProductNo 그룹상품번호 (integer<int64>) originProducts 원상품 단위 그룹 해제 결과 (object)[] Array [ originProductNo 원상품번호 (integer<int64>) success 그룹 해제 성공 여부 (boolean) message 실패 메시지 (string) ] ]
그룹상품 단위 그룹 해제 요청 (object),targets,그룹상품,1,✅ 핵심 UDS,"targets 그룹상품 단위 그룹 해제 요청 (object)[] REQUIRED 그룹 해제 대상 그룹상품 목록입니다. 한 번에 최대 10개의 그룹상품을 그룹 해제할 수 있습니다. 그룹 해제 대상 원상품번호는 총합 최대 2,000개까지 입력할 수 있습니다. Array [ standardGroupProductNo 그룹상품번호 (integer<int64>) REQUIRED 그룹 해제 대상 그룹상품번호입니다. originProductNos 원상품번호 (integer<int64>)[] 그룹 해제 대상 원상품번호 목록입니다. 원상품번호 입력 시, 그룹 내에서 해당 원상품만 그룹 해제됩니다. 이때 원상품번호는 함께 입력한 그룹상품번호(standardGroupProductNo)에 속해야 하며, 속하지 않은 경우 요청이 실패합니다. 원상품번호 미입력 시, 입력한 그룹상품번호에 속한 모든 원상품이 그룹 해제됩니다. ]"
그룹상품 상품번호 응답 (object),productNos,그룹상품,4,✅ 핵심 UDS,productNos 그룹상품 상품번호 응답 (object)[] Array [ originProductNo 원상품번호 (integer<int64>) smartstoreChannelProductNo 스마트스토어 채널 상품번호 (integer<int64>) windowChannelProductNo 윈도 채널 상품번호 (integer<int64>) ]
그룹상품 상품별 응답 (object),specificProducts,그룹상품,1,✅ 핵심 UDS,specificProducts 그룹상품 상품별 응답 (object)[]
그룹상품 요청 진행 상황 (object) state 요청 결,progress,그룹상품,4,✅ 핵심 UDS,"progress 그룹상품 요청 진행 상황 (object) state 요청 결과 (string) QUEUED: 상품 등록/수정/전환 대기 중 IN PROGRESS: 상품 등록/수정/전환 진행 중 COMPLETED: 상품 등록/수정/전환 완료 ALREADY_RESERVED: 동일 계정에서 이미 다른 요청이 진행 중 FAILED: 상품 등록/수정/전환 실패 ERROR: 시스템 오류 Possible values: [QUEUED, IN_PROGRESS, COMPLETED, ALREADY_RESERVED, ERROR, FAILED] invalidInputs 잘못된 입력값 목록 (object)[] errorMessage 잘못된 입력값 메시지 (string) progress 요청 진행률 (integer<int32>)"
그룹상품 응답 (object) leafCategoryId 리,groupProduct,그룹상품,1,✅ 핵심 UDS,"groupProduct 그룹상품 응답 (object) leafCategoryId 리프 카테고리 ID (string) REQUIRED name 그룹상품명 (string) REQUIRED guideId 판매 옵션 가이드 ID (integer<int64>) brandName 브랜드명 (string) brandId 브랜드 ID (integer<int64>) manufacturerName 제조사명 (string) itselfProductionProductYn 자체 제작 상품 여부 (boolean) taxType 부가가치세 타입 코드 (string) Possible values: [TAX, DUTYFREE, SMALL] customsTaxType 관부가세 타입 코드 (string) Possible values: [NOT_APPLICABLE, INCLUDED, EXCLUDED] saleType 상품 판매 유형 코드 (string) Possible values: [NEW, OLD] minorPur"
그룹상품 판매 옵션 정보 응답 (object),standardPurchaseOptionsIds,그룹상품,4,✅ 핵심 UDS,standardPurchaseOptionsIds 그룹상품 판매 옵션 정보 응답 (object)[] Array [ originProductNo 원상품번호 (integer<int64>) standardPurchaseOptionsIds 판매 옵션 정보 (object)[] Array [ optionId 판매 옵션 ID (integer<int64>) valueName 판매 옵션값명 (string) ] ]
그룹상품명 (string),groupProductName,상품,2,✅ 핵심 UDS,groupProductName 그룹상품명 (string)
그룹상품번호,groupProductNo,그룹상품,1,✅ 핵심 UDS,groupProductNo integer<int64> REQUIRED 그룹상품번호
그룹상품번호 (integer,"groupProductNo, standardGroupProductNo","그룹상품, 상품, 상품 목록",8,✅ 핵심 UDS,standardGroupProductNo 그룹상품번호 (integer<int64>) REQUIRED 그룹 해제 대상 그룹상품번호입니다.
그룹상품번호 목록 (integer,groupProductNos,상품 목록,1,✅ 핵심 UDS,groupProductNos 그룹상품번호 목록 (integer<int64>)[]
금액 (VAT포함),totalAmount,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,totalAmount number 금액 (VAT포함) Example: 0
기본 그룹 여부,baseGroup,상품 배송 정보,2,✅ 핵심 UDS,baseGroup boolean 기본 그룹 여부
기본 묶음배송 그룹 여부 (boolean) REQUIRED,baseGroup,상품 배송 정보,5,✅ 핵심 UDS,baseGroup 기본 묶음배송 그룹 여부 (boolean) REQUIRED 기본 그룹으로 지정 여부. 미입력 시 false로 설정됩니다.
기본 배송비 (integer,deliveryFee,상품 목록,1,✅ 핵심 UDS,deliveryFee 기본 배송비 (integer<int64>) Possible values: <= 100000
기본 희망일배송 그룹 여부 (boolean) REQUIRED,baseGroup,상품 배송 정보,5,✅ 핵심 UDS,baseGroup 기본 희망일배송 그룹 여부 (boolean) REQUIRED
기본주소,baseAddress,판매자 주소록,2,✅ 핵심 UDS,baseAddress string 기본 주소
기존 고객 비율,existCustomerRatio,고객 데이터,2,✅ 핵심 UDS,existCustomerRatio number<double> 기존 고객 비율
기존 고객 수,existCustomerCount,고객 데이터,2,✅ 핵심 UDS,existCustomerCount integer<int64> 기존 고객 수
기존 상품 철거/수거 타입 (string) DOWN,productRemovalType,상품 배송 정보,5,✅ 핵심 UDS,"productRemovalType 기존 상품 철거/수거 타입 (string) DOWN_FIRST_FLOOR(1층까지 내림), COLLECT_SELLER(수거) Possible values: [DOWN_FIRST_FLOOR, COLLECT_SELLER]"
기타 교환 비용,extraExchangeFeeAmount,교환,1,✅ 핵심 UDS,extraExchangeFeeAmount number 기타 교환 비용 Example: 0
기타 금액 (number) REQUIRED 기타 금액,otherAmount,부가세 내역,2,✅ 핵심 UDS,otherAmount 기타 금액 (number) REQUIRED 기타 금액
기타 반품 비용,extraReturnFeeAmount,반품,1,✅ 핵심 UDS,extraReturnFeeAmount number 기타 반품 비용 Example: 0
남성 구매 통계 ratio number,malePurchaseStats,고객 데이터,2,✅ 핵심 UDS,malePurchaseStats malePurchaseSchema.data-insight (object) REQUIRED 남성 구매 통계 ratio number<double> 구매 비율
내용,"content, contents","SKU, 고객 문의 조회, 그룹상품, 상품 검수, 상품 공지사항, 상품 목록, 상품 문의, 상품 배송 정보, 카탈로그",12,✅ 핵심 UDS,"content 고객 문의 내용 구조체 (object)[] Array [ inquiryNo integer<int64> REQUIRED 문의 번호 category string 문의 유형. 상품, 배송, 반품, 교환, 환불, 기타가 존재합니다. title string REQUIRED 문의 제목 inquiryContent string REQUIRED 문의 내용 inquiryRegistrationDateTime string<date-time> REQUIRED 문의 등록 일시(yyyy-MM-dd'T'HH:mm:ss.SSSXXX) answerContentId integer<int64> 최근 문의 답변 ID answerContent string 최근 문의 답변 내용 answerTemplateNo integer<int64> 최근 문의 답변 템플릿 번호 answerRegistrationDateTime string<date-time> 최근 문의 답변 등록 일시(yyyy-MM-dd'T'HH:mm:ss.S"
노출 순서 (integer,exposureOrder,상품 속성,1,✅ 핵심 UDS,exposureOrder 노출 순서 (integer<int32>)
단위 (string),unit,판매 옵션,1,✅ 핵심 UDS,unit 단위 (string)
단위 사용 여부 (boolean),unitUsable,상품 속성,1,✅ 핵심 UDS,unitUsable 단위 사용 여부 (boolean)
단위가격 사용 여부 (boolean),useUnitPrice,판매 옵션,1,✅ 핵심 UDS,useUnitPrice 단위가격 사용 여부 (boolean)
단위가격 표기 단위 (string),unitPriceText,판매 옵션,1,✅ 핵심 UDS,unitPriceText 단위가격 표기 단위 (string)
단위가격 표기 용량 (integer,unitPriceValue,판매 옵션,1,✅ 핵심 UDS,unitPriceValue 단위가격 표기 용량 (integer<int32>)
답변 내용,answerComment,고객 문의 답변 등록/수정,2,✅ 핵심 UDS,answerComment string REQUIRED 답변 내용 Example: 답변 내용입니다
답변 번호,"answerContentId, inquiryCommentNo",고객 문의 답변 등록/수정,2,✅ 핵심 UDS,answerContentId integer<int64> REQUIRED 답변 번호
답변 여부,answered,상품 문의,1,✅ 핵심 UDS,answered boolean 답변 여부
답변 템플릿 ID,answerTemplateId,고객 문의 답변 등록/수정,2,✅ 핵심 UDS,answerTemplateId string 답변 템플릿 ID Example: 12345
답변이 완료된 문의 여부(true/false),answered,고객 문의 조회,1,✅ 핵심 UDS,"answered string 답변이 완료된 문의 여부(true/false). 생략 시, 답변 완료 여부에 상관없이 모든 문의를 조회합니다."
