UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
단품 ID,uitemId,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,uitemId: Unit Item Identification | uitemId: Unit Item Identification | uitemId: Unit Item Identification
단품명,uitemNm,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,uitemNm: Unit Item Name | uitemNm: Unit Item Name | uitemNm: Unit Item Name
상품 ID,itemId,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,itemId: Item Identification | itemId: Item Identification | itemId: Item Identification
상품명,itemNm,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,itemNm: Item Name | itemNm: Item Name | itemNm: Item Name
샘플코드에서 확인된 필드,PARAMETER,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,PARAMETER: 샘플코드에서 확인된 필드 | PARAMETER: 샘플코드에서 확인된 필드 | PARAMETER: 샘플코드에서 확인된 필드
수령자 휴대전화,rcptpeHpno,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,rcptpeHpno: Receipt Person Handphone Service Number | rcptpeHpno: Receipt Person Handphone Service Number
수령자명,rcptpeNm,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,rcptpeNm: Receipt Person Name | rcptpeNm: Receipt Person Name
실주문금액,rlordAmt,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,rlordAmt: Real Order Amount | rlordAmt: Real Order Amount
원주문번호,orordNo,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,orordNo: Original Order No | orordNo: Original Order No | orordNo: Original Order No
원주문상품 순번,orordItemSeq,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,orordItemSeq: integer
조회 시작일,perdStrDts,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,perdStrDts: Period Start Date
조회 종료일,perdEndDts,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,perdEndDts: Period End Date
주문번호,ordNo,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordNo: Order No | ordNo: Order No | ordNo: Order Number
주문상태 코드,ordStatCd,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordStatCd: Order Status Code | ordStatCd: Order Status Code | ordStatCd: Order Status Code
주문상품 순번,ordItemSeq,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordItemSeq: Y | ordItemSeq: Y | ordItemSeq: Order Item Sequence
주문수량,ordQty,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordQty: Order Quantity | ordQty: Order Quantity
판매가,sellprc,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,sellprc: Sell Price | sellprc: Sell Price
할인금액,dcAmt,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,dcAmt: Discount Amount | dcAmt: Discount Amount
협력사 상품 ID,splVenItemId,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,splVenItemId: Supply Vendor Item Identification | splVenItemId: Supply Vendor Item Identification
회원 로그인 ID,mbrLoginId,여행 주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,mbrLoginId: Member Login Identification | mbrLoginId: Member Login Identification
